One unit of length is 1e-10 meters
One unit of velocity is 997.765 meters/second
One unit of time is 1.00224e-13 seconds
One unit of mass is 1.66054e-27 kg
One unit of temperature is 119.735 K
One unit of pressure is 1.65313e+09 Pa
[-0.126857, -0.126857, -0.126857]
[0.185037, 0.185037, -8.32667e-17]
[0.185037, 0.185037, -8.32667e-17]
[0.496932, 0.311895, 0.311895]
[0.961243, 2.06779e-15, 1.98452e-15]
[0.961243, 2.06779e-15, 1.98452e-15]
[0.961243, 2.06779e-15, 1.98452e-15]
[0.961243, 2.06779e-15, 1.98452e-15]
[0.961243, 2.06779e-15, 1.98452e-15]
[1.0881, 0.311895, 0.311895]
[0.776205, 0.776205, 4.06619e-15]
[0.776205, 0.776205, 4.06619e-15]
[0.464311, 0.464311, 0.464311]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.567265, -0.567265, 0.450593]
[-0.25537, -0.25537, 0.57745]
[-0.25537, -0.25537, 0.57745]
[0.0565249, -0.128513, 0.889345]
[0.525093, -0.440407, 0.564679]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.647693, -0.128513, 0.889345]
[0.335798, 0.340055, 0.564679]
[0.335798, 0.335798, 0.57745]
[0.464311, 0.464311, 0.464311]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.467865, 0.372722, 0.571278]
[-0.524434, 0.275923, 0.602992]
[-0.524434, 0.275923, 0.602992]
[-0.307682, 0.339352, 0.819744]
[0.533607, 0.423379, 0.590221]
[0.52935, 0.423379, 0.602992]
[0.52935, 0.423379, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.556807, 0.339352, 0.546423]
[0.613377, -0.077152, 0.602992]
[0.613377, -0.077152, 0.602992]
[0.837032, -0.433532, 0.862575]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.472122, 0.737632, -0.126857]
[-0.160227, 1.04953, 2.78944e-15]
[-0.160227, 1.04953, 2.78944e-15]
[0.151668, 1.17638, 0.311895]
[0.620236, 0.851718, 4.76008e-15]
[0.620236, 0.851718, 4.76008e-15]
[0.620236, 0.851718, 4.76008e-15]
[0.615978, 0.864489, 4.76008e-15]
[0.615978, 0.864489, 4.76008e-15]
[0.679407, 0.832775, -0.0317143]
[0.776205, 0.776205, 4.76702e-15]
[0.776205, 0.776205, 4.76702e-15]
[0.464311, 0.451539, 0.468568]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.912529, 0.297225, 0.450593]
[-0.600634, 0.609119, 0.57745]
[-0.600634, 0.609119, 0.57745]
[-0.288739, 0.735977, 0.889345]
[0.184085, 0.411311, 0.564679]
[0.179828, 0.411311, 0.57745]
[0.179828, 0.411311, 0.57745]
[0.175571, 0.424082, 0.57745]
[0.175571, 0.424082, 0.57745]
[0.239, 0.392368, 0.545736]
[0.335798, 0.335798, 0.57745]
[0.335798, 0.335798, 0.57745]
[0.464311, 0.451539, 0.468568]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.400179, -0.119982, 0.571278]
[-0.456748, -0.216781, 0.602992]
[-0.456748, -0.216781, 0.602992]
[-0.208282, -0.216781, 0.851459]
[0.685319, -0.216781, 0.590221]
[0.681062, -0.216781, 0.602992]
[0.649348, -0.153352, 0.571278]
[0.592778, -0.0565538, 0.602992]
[0.592778, -0.0565538, 0.602992]
[0.592778, -0.0565538, 0.602992]
[0.613377, -0.077152, 0.602992]
[0.613377, -0.077152, 0.602992]
[0.805318, -0.517559, 0.914887]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.341007, -0.00972571, -0.0317143]
[0.244209, -0.0662954, 0]
[0.244209, -0.0662954, 0]
[0.147411, -0.034581, -0.0565697]
[-0.269093, 0.0219886, 6.93889e-18]
[-0.269093, 0.0219886, 6.93889e-18]
[-0.269093, 0.0219886, 6.93889e-18]
[-0.269093, 0.0219886, 6.93889e-18]
[-0.269093, 0.0219886, 6.93889e-18]
[-0.17395, 0.335539, 0.273321]
[-0.530331, 1.0921, 2.51188e-15]
[-0.530331, 1.0921, 2.51188e-15]
[-0.446304, 0.862575, 0.841289]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.781414, 0.430682, 0.545736]
[0.684616, 0.374112, 0.57745]
[0.684616, 0.374112, 0.57745]
[0.587818, 0.405826, 0.52088]
[0.171314, 0.462396, 0.57745]
[0.171314, 0.462396, 0.57745]
[0.171314, 0.462396, 0.57745]
[0.171314, 0.462396, 0.57745]
[0.171314, 0.462396, 0.57745]
[0.298171, 0.335539, 0.450593]
[-0.058209, 1.09635, 0.1645]
[-0.058209, 1.0921, 0.177271]
[-0.446304, 0.862575, 0.841289]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.491065, -0.145097, 0.476135]
[-0.17917, 0.166797, 0.602992]
[-0.17917, 0.166797, 0.602992]
[0.132725, 0.293655, 0.914887]
[0.60555, -0.0310112, 0.590221]
[0.601292, -0.0310112, 0.602992]
[0.601292, -0.0310112, 0.602992]
[0.597035, -0.0182399, 0.602992]
[0.597035, -0.0182399, 0.602992]
[0.660464, -0.0499542, 0.571278]
[0.312598, 0.814519, 0.190042]
[0.312598, 0.814519, 0.190042]
[0.472825, 0.489853, 0.481339]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[0.961243, 2.70617e-15, 2.77556e-15]
[1.0881, 0.311895, 0.311895]
[0.763434, 0.780462, 4.78784e-15]
[0.763434, 0.780462, 4.78784e-15]
[0.438768, 0.468568, 0.468568]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.520835, -0.440407, 0.57745]
[0.647693, -0.128513, 0.889345]
[0.323027, 0.344312, 0.564679]
[0.323027, 0.340055, 0.57745]
[0.438768, 0.468568, 0.468568]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.525093, 0.43615, 0.602992]
[0.556807, 0.339352, 0.546423]
[0.613377, -0.077152, 0.602992]
[0.613377, -0.077152, 0.602992]
[0.824261, -0.433532, 0.866832]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.615978, 0.864489, 5.57193e-15]
[0.679407, 0.832775, -0.0317143]
[0.763434, 0.780462, 5.57887e-15]
[0.763434, 0.780462, 5.57887e-15]
[0.438768, 0.455796, 0.472825]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.175571, 0.424082, 0.57745]
[0.175571, 0.424082, 0.57745]
[0.175571, 0.424082, 0.57745]
[0.175571, 0.424082, 0.57745]
[0.175571, 0.424082, 0.57745]
[0.175571, 0.424082, 0.57745]
