One unit of length is 1e-10 meters
One unit of velocity is 997.765 meters/second
One unit of time is 1.00224e-13 seconds
One unit of mass is 1.66054e-27 kg
One unit of temperature is 119.735 K
One unit of pressure is 1.65313e+09 Pa
Ek = 2.05109e-19 J, 	 T = 91.7034 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
Ek = 0.0373783 J, 	 T = 1.67117e+19 K
